common,scientific,characteristic,notes,conservation,extant,hall,population
Pygmy shrew,Sorex hoyi, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE,
Small short-tailed shrew,Blarina brevicauda, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE,
Short-tailed shrew,Blarina brevicauda, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE,
Common opossum,Didelphis marsupialis,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Thylacinus cynocephalus,Thylacinus cynocephalus,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Tree hare,Dendrolagus lumholtzi,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Spotted hyena,Crocuta crocuta, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Eurasian cave lion,Panthera leo spelaea, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Red Panda,Ailurus fulgens, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,"Red pandas are threatened from harvests from the wild, competition with domestic livestock, habitat degradation, and deforestation.  The population of the red panda is under 10,000."
Cave bear,Ursus spelaeus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EX,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
European rabbit,Oryctolagus cuniculus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Archaeolemur majori,Archaeolemur majori, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Jamaican fruit bat,Artibeus jamaicensis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Lyle's flying fox,Pteropus lylei, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,"Hunting and habitat loss are the biggest threats that face the species. The largest colony in Thailand contains  3,000 individuals, and there are up to 11 colonies in Thailand while 3 others exist in Viet Nam. "
Koala Lemur,Megaladapis edwardsi, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Giant Forest Hog,Hylochoerus meinertzhageni,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Helmeted muskox,Bootherium bombifrons,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Muskox,Bos Gaurus Gaurus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Steppe bison,Bison priscus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Irish elk,Megaloceros giganteus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Long llama,Macrauchenia patachonica,HOOVES,NOTOUNGULATES & LITOPTERNS: 60mya (all are extinct),EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Narwhal,Monodon monoceros ,HOOVES,"CETACEANS, aka WHALES and DOLPHINS: 60mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Mastodon,Mammut americanum,EYES TO FRONT OF SKULL,"PROBOSCIDEANS, aka ELEPHANTS and MAMMOTHS",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Woolly mammoth,Mammuthus primigenius,EYES TO FRONT OF SKULL,"PROBOSCIDEANS, aka ELEPHANTS and MAMMOTHS",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Siamang,Symphalangus syndactylus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF HUMAN ORIGINS,"Threats that face this species include habitat loss and degradation, hunting to sell young siamangs, and natural disasters.  In the past five decades, the population fell by 50%."
Mammoth,Archidiskodon meridionalis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Saber-toothed cat,Smilodon, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES,
Short-necked giraffe,Giraffa camelopardalis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF HUMAN ORIGINS,"Today, a giraffe is threatened by habitat loss and fragmentation, civil unrest, changes in the habitat, and illegal hunting.  In 2015,  the giraffe population had 97,562 individuals."
Eurasian wolf,Canis etruscus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF HUMAN ORIGINS,
Caucasian Lion,Panthera leo persica, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF HUMAN ORIGINS,"Poaching and unexpected events threaten this species because there is only one subpopulation, which puts the caucasian lion in danger.  Now, the population of the caucasian lion is 350 animals."
Homo heidelbergensis,Homo heidelbergensis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EX,FALSE,HALL OF HUMAN ORIGINS,
Short-beaked common dolphin,Delphinus delphis,HOOVES,"CETACEANS, aka WHALES and DOLPHINS: 60mya",LC,TRUE,HALL OF OCEAN LIFE,
Giant Anteater,Myrmecophaga tridactyla,PLACENTA,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",VU,TRUE,HALL OF BIODIVERSITY,"Death from fire and road kills combined with the threat of habitat loss makes the species vulnerable today. During the last 10 years, at least 30% of the giant anteater population was lost."
Tree Pangolin,Verreaux Sifaka, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF BIODIVERSITY," The three pangolin's largest threat is poaching for their prized scales from false beliefs in their “medicinal” value.  In the last 10 years, over 1 million pangolins, including all eight species of pangolin were killed."
Demidoffos galago,Galagoides demidoff, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY,
Thomson's gazelle,Eudorcas thomsonii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS,
Grant's gazelle,Nanger granti,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Waller's gazelle,Litocranius walleri,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS,
Kirk's dikdiks,Madoqua kirkii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Eld's deer,Rucervus eldii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF ASIAN MAMMALS," Habitat destruction and illegal logging keep threatening the Eld's deer.  In the last 15 years, the population has fallen by over 50%.  The Indian sub-species of the eld's deer was believed to be extinct, but  it was discovered again in the 1950s."
Bushbaby/Galago,Otolemur crassicaudatus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Marmoset/Tamarin,Callithrix jacchus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Woolly monkey,Lagothrix lagotricha, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF PRIMATES,The woolly monkey’s major threat is hunting.
Spider monkey,Ateles fusciceps, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF PRIMATES,Spider monkeys are critically endangered because they are threatened by the disappearing forest habitat and being hunted for their meat.  Over than 80% of the population was destroyed in the last 45 years.
Squirrel monkey,Saimiri, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Capuchins,Cebinae, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Howler monkey,Alouatta, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Colobus,Colobus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF PRIMATES,"To colobus monkeys, Deforestation and hunting are their biggest threats. Now, there are about 5,000 left in the world."
Langurs,Trachypithecus auratus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF PRIMATES,"Because of habitat loss and human activities such as hunting, stone mining and charcoal production, langurs face many threats. Because of these threats, there are less than 250 Langurs left.."
Barbary Macaque,Macaca sylvanus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF PRIMATES,"Threats from increased logging activity, habitat loss, illegal hunting, and overgrazing put this species in danger.  Approximately 6,500 to 9,100 Barbary macaques remain in very fragmented areas in Algeria  and Morroco."
Titi Monkey ,Callicebinae, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
